WikidataID,LabelWikidata,Class
Q2001,Stanley Kubrick,PERSON
Q2002,2015,LOCATION
Q2003,Newfoundland and Labrador,LOCATION
Q2004,2008,LOCATION
Q2005,JavaScript,LOCATION
Q2006,Deborah Compagnoni,PERSON
Q2007,Northwest Territories,LOCATION
Q2008,Gare de Lyon-Part-Dieu,LOCATION
Q2009,Yukon,LOCATION
Q2010,Eiichiro Oda,PERSON
Q2011,Gare de Lyon-Vaise,LOCATION
Q2012,Maya calendar,LOCATION
Q2013,Wikidata,LOCATION
Q2014,2004,LOCATION
Q2015,Vologda Oblast,LOCATION
Q2016,Gare de Lyon-Saint-Paul,LOCATION
Q2017,Wikitravel,LOCATION
Q2018,Calcio Catania,LOCATION
Q2019,2005,LOCATION
Q2020,Dragon Ball,LOCATION
Q2021,2006,LOCATION
Q2022,Cesare Pavese,PERSON
Q2023,Nunavut,LOCATION
Q2024,2007,LOCATION
Q2025,Carbon monoxide,LOCATION
Q2026,Chambost-Allières,LOCATION
Q2027,Linux Mint,LOCATION
Q2028,Verona,LOCATION
Q2029,History of Lyon,LOCATION
Q2030,Iqaluit,LOCATION
Q2031,Marc Girardelli,PERSON
Q2032,Luxembourg District,LOCATION
Q2033,Notepad++,LOCATION
Q2034,1900,LOCATION
Q2035,1901,LOCATION
Q2036,TER Rhône-Alpes,LOCATION
Q2037,A.C. ChievoVerona,LOCATION
Q2038,François Mitterrand,PERSON
Q2039,Livy,PERSON
Q2040,Giuseppe Farina,PERSON
Q2041,Bridges of Lyon,LOCATION
Q2042,Charles de Gaulle,PERSON
Q2043,1902,LOCATION
Q2044,Florence,LOCATION
Q2045,1903,LOCATION
Q2046,1904,LOCATION
Q2047,1905,LOCATION
Q2048,1907,LOCATION
Q2049,1906,LOCATION
Q2050,Gare des Brotteaux,LOCATION
Q2051,Jambi,LOCATION
Q2052,ACF Fiorentina,LOCATION
Q2053,HTML5,LOCATION
Q2054,Seneca the Younger,PERSON
Q2055,,LOCATION
Q2056,1908,LOCATION
Q2057,1909,LOCATION
Q2058,Whitehorse_ Yukon,LOCATION
Q2059,Gare de Lyon-Gorge-de-Loup,LOCATION
Q2060,1992,LOCATION
Q2061,Yellowknife,LOCATION
Q2062,1991,LOCATION
Q2063,JSON,LOCATION
Q2064,1990,LOCATION
Q2065,1993,LOCATION
Q2066,Essen,LOCATION
Q2067,1994,LOCATION
Q2068,1995,LOCATION
Q2069,Juan Manuel Fangio,PERSON
Q2070,1996,LOCATION
Q2071,David Lynch,PERSON
Q2072,Marcel Hirscher,PERSON
Q2073,Komi Republic,LOCATION
Q2074,Genoa C.F.C.,LOCATION
Q2075,1910,LOCATION
Q2076,1911,LOCATION
Q2077,1912,LOCATION
Q2078,Scalable Vector Graphics,LOCATION
Q2079,Leipzig,LOCATION
Q2080,1913,LOCATION
Q2081,Roseto degli Abruzzi,LOCATION
Q2082,St. John's_ Newfoundland and Labrador,LOCATION
Q2083,1914,LOCATION
Q2084,1915,LOCATION
Q2085,Twin Peaks,LOCATION
Q2086,Alberto Ascari,PERSON
Q2087,1916,LOCATION
Q2088,1997,LOCATION
Q2089,1998,LOCATION
Q2090,Nuremberg,LOCATION
