WikidataID;labelWikidata;PredictedClass
Q76;Barack Obama;PERSON;
Q207;George W. Bush;PERSON;
Q240126;bullying;LOCATION;
Q179742;prejudice;LOCATION;
Q22686;Donald Trump;PERSON;
Q1414593;Patient Protection and Affordable Care Act;LOCATION;
Q47740;Muslim;LOCATION;
Q21707860;Paris Agreement;LOCATION;
Q25395;Newark;LOCATION;
Q2521385;Richmond Football Club;LOCATION;
