WikidataID,LabelWikidata,Class
Q76,Barack Obama,PERSON
Q34389,Whitney Houston,PERSON
Q28119,BES-5,ACRONYM
Q34687,Rose,PLANT
Q629,Oxygen,SUBSTANCE
Q15056514,,ARTIFACT
Q23644849,,TITLE
Q19939,Tiger,ANIMAL
Q246592,List of Fritz London Memorial Prizes,AWARD
Q26463,Industrial and Commercial Bank of China,BUSINESS
Q516687,Burgfriedenspolitik,UNKNOWN
Q4507,Friday Night Lights (TV series),CREATION
Q471955,Battle of Changsha (1944),EVENT
Q55601,Presidential Office Building,INSTALLATION
Q15574,University of Adelaide,LOCATION
Q1221134,,LEGAL
Q11176,Claimed moons of Earth,LOCATION
Q1302471,Unit of volume,MEASURE
Q127042,Berliner Astronomisches Jahrbuch,MEDIA
Q16331106,,ORGANISATION
Q2455,December 20,PERIOD
Q121842,French people,PERSON_TYPE
Q10389,Bandung,LOCATION
Q1962709,Ingrian War,LOCATION
Q42101,Denzel Washington,PERSON
Q33549,Javanese language,CONCEPT
Q31113,Kuomintang,ORGANISATION
Q2074,Genoa C.F.C.,SPORT_TEAM
Q208207,Britney (album),CREATION
Q11975,Britney Spears,PERSON
